No,Brand,Nomor Permohonan,Tahun Permohonan,Status,Kode Kelas,Deskripsi Kelas
21,KIP,D002007003446,2007,Didaftar,11,"Instalasi saluran air, alat saringan air, pemanas air, instalasi pemurnian air, instalasi penyediaan air, tempat duduk jamban, steam cabinet (lemari uap), sauna cabinet (lemari pemanas), bathtub with water jet massage (bak mandi rendam dengan pijatan air), washtafel, closet duduk dan closet jongkok, bak cuci piring, water tub, kulkas, lampu-lampu, dispenser, sandwich toaster, rice cooker, kipas angin, freezer, gas cooker, microwave, air conditioner, kompor masak gas, pendingin hawa untuk kendaraan, alat penyejuk hawa, tungku pembakaran roti, panggangan daging, alat penyejuk minuman, ketel air (selain dari bagian mesin), alat pembakar gas, lampu listrik untuk pohon natal, alat pengering rambut, alat pengering udara, alat penguap, kipas angin, saringan untuk air minum, lampu senter, tungku, oven-oven, bola lampu, alat pengering tangan untuk kamar cuci, alat pemanas air kamar mandi, cerek listrik, generator gas (instalasi), pemanggang buah, panci presto listrik"
22,18 MAJORS + GOLDEN BEAR DESIGN,D002007003449,2007,Didaftar,18,"ialah: kopor-kopor dan tas-tas untuk per,alanan, payung-payung hu,an dan payung-payung matahari, Kulit dan kulit imitasi; pakaian kuda (hanrness) yang dibuat dari kulit; tas untuk pengepakan yang terbuat dari kulit; tas; tas sekolah; tas tangan; koper (suitcases); koper (trunks); tas kartu; tas belanja; dompet (purses); dompet kunci; dompet saku (wallets); dompet kartu nama; tempat tiket dari kulit; payung; payung matahari dari tongkat; cambuk; wadah pengepakan industri dari kulit., kulit-kulit halus, dan barang-barang yang terbuat dari bahan-bahan tersebut"
23,18 MAJORS,D002007003451,2007,Didaftar,25,"Pakaian, alas-alas kaki, topi-topi, ikat-ikat kepala"
24,EMULGEL,D002007003454,2007,Didaftar,5,Sediaan-sediaan pharmasi
25,KEY TRACKER,D002007003457,2007,Didaftar,6,"bagian-bagian dan perlengkapan-perlengkapan semua barang-barang tersebut, pasak-pasak logam, kunci-kunci, Wadah-wadah, alat-alat penyimpanan, unit-unit penyimpanan, brankas-brankas (safes), kotak penyimpanan alat- alat dan perlengkapan-perlengkapan (strong boxes), kotak-kotak penyimpanan (safe deposit boxes)"
26,KEY TRACKER,D002007003458,2007,Didaftar,9,"Perangkat lunak komputer; aplikasi perangkat lunak komputer, yang dapat diunduh;
perangkat lunak komputer untuk menyediakan jasa/layanan obrolan video (video chat); perangkat lunak komputer untuk mengobrol (chatting) melalui internet; perangkat lunak video interaktif; perangkat lunak komputer untuk transmisi pesan suara dan video; perangkat lunak komputer untuk mentransmisikan dan menyiarkan konten audio, video dan multimedia; perangkat lunak komputer untuk digunakan dalam menyediakan akses beberapa pengguna ke jaringan informasi komputer global; aplikasi perangkat lunak, yang dapat diunduh, untuk jasa/layanan jaringan sosial melalui internet; perangkat lunak untuk kirim pesan instan (instant messaging); perangkat lunak komputer untuk memproses gambar digital; perangkat lunak komputer untuk memungkinkan penyediaan media elektronik melalui internet; perangkat lunak komputer untuk mengendalikan pengoperasian perangkat/alat (devices) audio dan video; aplikasi perangkat lunak komputer, yang dapat diunduh, untuk streaming konten media audio visual melalui internet; perangkat lunak pengenalan ucapan; perangkat lunak pengenalan gerakan; perangkat lunak pengenalan wajah; telepon bergerak (mobile); telepon pintar (smartphones); komputer tablet; peralatan komunikasi video; peralatan untuk merekam, mengirim atau mereproduksi suara, gambar dan data; alat penerima audio dan video"
27,ETTOREBUGATTI,D002007003460,2007,Didaftar,25,"Pakaian laki-laki, perempuan, dan anak-anak, pakaian dalam, baju kaos, celana panjang, celana pendek, baju senam, baju olah raga, baju renang, baju dingin, baju hangat, ban pinggang, dasi, topi, sarung tangan, sepatu, sandal, kaos kaki, jaket"
28,APOLLO,D002007003469,2007,Didaftar,29,"Kwaci, kerupuk, keripik kentang, keripik pisang, keripik sukun, keripik ubi, keripik singkong, kacang garing, kacang atom, kacang arab, kacang pilus"
29,TROCHOID,D002007003486,2007,Didaftar,7,"alat pengembus (mesin), diafrakma pompa, kompresor [mesin-mesin], kompresor turbo, kompresor untuk lemari es, mesin penghembus untuk menyedot debu, dlsb, mesin yang bekerja dengan tekanan udara mampat, pompa angin (instalasi bengkel), pompa bir, pompa pelumas, Pompa pengatur gas udara untuk aquarium, pompa penghisap [mesin-mesin], pompa sentrifugal, pompa udara mampat, pompa untuk instalasi pemanas, pompa-pompa [bagian-bagian mesin, motor], pompa-pompa [mesin]"
30,STARBUCKS COFFEE + LOGO,D002007003492,2007,Didaftar,30,"cuka, saus-saus (bumbu-bumbu), es, Kopi, teh, kakao, gula, beras, tapioka, sagu, bahan pengganti kopi, madu, madu sirop, ragi, bubuk untuk membuat roti, garam, mosterd, rempah-rempah, tepung dan sediaan-sediaan terbuat dari gandum, roti, adonan terigu (kue basah) dan kembang gula, es-es konsumsi"
